inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-05-25 to 2024-05-30,2024-05-26T03:47:00+00:00,2024-05-26T07:47:00+00:00,"{""ELEVATED"": {""count"": 5, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 5, ""percent"": 100.0}}",UNSTABLE_TRANSITION,146.0,166.0,146.0,191.0,5.0,17.1,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-26T08:47:00+00:00,2024-05-26T08:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,179.0,179.0,179.0,179.0,N/A,12.0,LOW,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-26T09:47:00+00:00,2024-05-26T09:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,185.0,185.0,185.0,185.0,N/A,7.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-26T10:47:00+00:00,2024-05-26T11:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",STABLE_ELEVATED,190.0,170.0,170.0,190.0,-20.0,6.0,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-26T12:47:00+00:00,2024-05-26T14:47:00+00:00,"{""ELEVATED"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,161.0,188.0,154.0,188.0,13.5,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_NEGATIVE""]"
2024-05-25 to 2024-05-30,2024-05-26T15:47:00+00:00,2024-05-26T15:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,164.0,164.0,164.0,164.0,N/A,9.5,LOW,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-26T16:47:00+00:00,2024-05-26T16:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,205.0,205.0,205.0,205.0,N/A,9.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-26T17:47:00+00:00,2024-05-26T17:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,183.0,183.0,183.0,183.0,N/A,13.5,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-26T18:47:00+00:00,2024-05-26T18:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,161.0,161.0,161.0,161.0,N/A,13.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-26T19:47:00+00:00,2024-05-26T19:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,170.0,170.0,170.0,170.0,N/A,12.0,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-26T20:47:00+00:00,2024-05-27T08:47:00+00:00,"{""ELEVATED"": {""count"": 7, ""percent"": 53.85}, ""HIGH"": {""count"": 6, ""percent"": 46.15}}","{""UNSTABLE_TRANSITION"": {""count"": 13, ""percent"": 100.0}}",UNSTABLE_TRANSITION,203.0,223.0,139.0,236.0,1.667,13.269,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""LOW_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-27T09:47:00+00:00,2024-05-27T09:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,223.0,223.0,223.0,223.0,N/A,2.5,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE""]"
2024-05-25 to 2024-05-30,2024-05-27T10:47:00+00:00,2024-05-27T10:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,199.0,199.0,199.0,199.0,N/A,2.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-27T11:47:00+00:00,2024-05-27T11:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,210.0,210.0,210.0,210.0,N/A,2.5,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-27T12:47:00+00:00,2024-05-27T14:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""STABLE"": {""count"": 3, ""percent"": 100.0}}",STABLE_HIGH,207.0,225.0,207.0,225.0,9.0,8.0,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-27T15:47:00+00:00,2024-05-27T15:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,207.0,207.0,207.0,207.0,N/A,3.5,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-27T16:47:00+00:00,2024-05-27T18:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,203.0,207.0,190.0,207.0,2.0,4.833,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE""]"
2024-05-25 to 2024-05-30,2024-05-27T19:47:00+00:00,2024-05-27T19:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,225.0,225.0,225.0,225.0,N/A,10.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-27T20:47:00+00:00,2024-05-27T20:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,196.0,196.0,196.0,196.0,N/A,5.5,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-27T21:47:00+00:00,2024-05-27T21:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,205.0,205.0,205.0,205.0,N/A,5.5,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES""]"
2024-05-25 to 2024-05-30,2024-05-27T22:47:00+00:00,2024-05-28T03:47:00+00:00,"{""HIGH"": {""count"": 6, ""percent"": 100.0}}","{""RISING"": {""count"": 6, ""percent"": 100.0}}",ACCUMULATION,221.0,284.0,221.0,284.0,12.6,14.417,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW"", ""SLOPE_NEAR_THRESHOLD"", ""LOW_LOCAL_VARIABILITY""]"
2024-05-25 to 2024-05-30,2024-05-28T04:47:00+00:00,2024-05-28T06:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,238.0,251.0,232.0,251.0,6.5,11.833,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T07:47:00+00:00,2024-05-28T09:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 3, ""percent"": 100.0}}",UNSTABLE_TRANSITION,268.0,238.0,238.0,268.0,-15.0,13.333,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""LOW_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T10:47:00+00:00,2024-05-28T10:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,271.0,271.0,271.0,271.0,N/A,14.0,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T11:47:00+00:00,2024-05-28T11:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,216.0,216.0,216.0,216.0,N/A,14.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T12:47:00+00:00,2024-05-28T12:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,230.0,230.0,230.0,230.0,N/A,19.0,MEDIUM,"[""HIGH_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-28T13:47:00+00:00,2024-05-28T16:47:00+00:00,"{""HIGH"": {""count"": 4, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,247.0,225.0,225.0,273.0,-7.333,12.625,HIGH,"[""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""PERSISTENCE_ADJUSTED_STATE""]"
2024-05-25 to 2024-05-30,2024-05-28T17:47:00+00:00,2024-05-28T17:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,205.0,205.0,205.0,205.0,N/A,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-28T18:47:00+00:00,2024-05-28T18:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,227.0,227.0,227.0,227.0,N/A,11.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T19:47:00+00:00,2024-05-28T19:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,255.0,255.0,255.0,255.0,N/A,14.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-28T20:47:00+00:00,2024-05-28T21:47:00+00:00,"{""HIGH"": {""count"": 2, ""percent"": 100.0}}","{""FALLING"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,221.0,221.0,221.0,221.0,0.0,8.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-28T22:47:00+00:00,2024-05-29T03:47:00+00:00,"{""HIGH"": {""count"": 6, ""percent"": 100.0}}","{""STABLE"": {""count"": 6, ""percent"": 100.0}}",STABLE_HIGH,225.0,238.0,216.0,238.0,2.6,3.417,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-29T04:47:00+00:00,2024-05-29T04:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,225.0,225.0,225.0,225.0,N/A,4.5,LOW,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-29T05:47:00+00:00,2024-05-29T05:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,210.0,210.0,210.0,210.0,N/A,4.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-29T06:47:00+00:00,2024-05-29T06:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,251.0,251.0,251.0,251.0,N/A,7.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-29T07:47:00+00:00,2024-05-29T13:47:00+00:00,"{""HIGH"": {""count"": 7, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 7, ""percent"": 100.0}}",UNSTABLE_TRANSITION,212.0,258.0,210.0,260.0,7.667,16.429,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-29T14:47:00+00:00,2024-05-29T14:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,251.0,251.0,251.0,251.0,N/A,7.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-29T15:47:00+00:00,2024-05-29T17:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 66.67}, ""HIGH"": {""count"": 1, ""percent"": 33.33}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,207.0,168.0,168.0,207.0,-19.5,19.833,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-29T18:47:00+00:00,2024-05-29T20:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 66.67}, ""HIGH"": {""count"": 1, ""percent"": 33.33}}","{""UNSTABLE_TRANSITION"": {""count"": 3, ""percent"": 100.0}}",UNSTABLE_TRANSITION,197.0,212.0,183.0,212.0,7.5,16.833,HIGH,"[""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-29T21:47:00+00:00,2024-05-29T21:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,238.0,238.0,238.0,238.0,N/A,14.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
