inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-05-25 to 2024-05-30,2024-05-24T21:47:00+00:00,2024-05-25T08:47:00+00:00,"{""LOW"": {""count"": 12, ""percent"": 100.0}}","{""STABLE"": {""count"": 12, ""percent"": 100.0}}",STABLE_LOW,0.0,14.0,0.0,18.0,1.273,3.042,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-25T09:47:00+00:00,2024-05-25T10:47:00+00:00,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""RISING"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,47.0,74.0,47.0,74.0,27.0,2.25,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-25T11:47:00+00:00,2024-05-25T14:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 25.0}, ""LOW"": {""count"": 3, ""percent"": 75.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,64.0,105.0,64.0,105.0,13.667,17.875,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES""]"
2024-05-25 to 2024-05-30,2024-05-25T15:47:00+00:00,2024-05-25T15:47:00+00:00,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,74.0,74.0,74.0,74.0,N/A,6.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-25T16:47:00+00:00,2024-05-25T16:47:00+00:00,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_LOW,87.0,87.0,87.0,87.0,N/A,8.0,MEDIUM,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES""]"
2024-05-25 to 2024-05-30,2024-05-25T17:47:00+00:00,2024-05-25T17:47:00+00:00,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,89.0,89.0,89.0,89.0,N/A,7.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-25T18:47:00+00:00,2024-05-25T18:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,110.0,110.0,110.0,110.0,N/A,13.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-25T19:47:00+00:00,2024-05-25T23:47:00+00:00,"{""ELEVATED"": {""count"": 5, ""percent"": 100.0}}","{""RISING"": {""count"": 5, ""percent"": 100.0}}",ACCUMULATION,99.0,114.0,99.0,137.0,3.75,11.8,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE""]"
2024-05-25 to 2024-05-30,2024-05-26T00:47:00+00:00,2024-05-26T00:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,108.0,108.0,108.0,108.0,N/A,10.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-26T01:47:00+00:00,2024-05-26T02:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 100.0}}","{""RISING"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,144.0,177.0,144.0,177.0,33.0,13.25,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]"
