field,value
timezone_audit_rows,1583
dst_ambiguous_count,0
dst_nonexistent_count,0
dst_transition_related_count,0
dst_problem_count,0
dst_notes,Timezone audit rows document assumptions for reproducible ordering and are not all DST problems. Problem counts include ambiguous/nonexistent local timestamps and timestamp parse warnings.
