parameter_set_identifier,slope_threshold_multiplier,short_window_observations,medium_window_observations,minimum_state_persistence_observations,variability_threshold_bq_m3,state_counts,state_duration_hours,state_percentages,episode_count_by_type,episode_transition_count,agreement_with_baseline_percent,cohen_kappa,baseline_episode_preservation_percent,metric_note
dynamic_slope_x0.8,0.8,3,6,2,15.0,"{""FALLING"": 124, ""QUALITY_AFFECTED"": 36, ""RISING"": 137, ""STABLE"": 1174, ""SUDDEN_DROP"": 8, ""SUDDEN_RISE"": 2, ""UNSTABLE_TRANSITION"": 102}","{""FALLING"": 119.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 137.0, ""STABLE"": 1151.933, ""SUDDEN_DROP"": 7.967, ""SUDDEN_RISE"": 2.0, ""UNSTABLE_TRANSITION"": 102.0}","{""FALLING"": 7.83, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 8.65, ""STABLE"": 74.16, ""SUDDEN_DROP"": 0.51, ""SUDDEN_RISE"": 0.13, ""UNSTABLE_TRANSITION"": 6.44}","{""ACCUMULATION"": 18, ""DECLINE"": 19, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 3, ""STABLE_HIGH"": 9, ""STABLE_LOW"": 102, ""SUDDEN_DROP_EVENT"": 7, ""SUDDEN_RISE_EVENT"": 2, ""UNSTABLE_TRANSITION"": 149}",332,95.39,0.886,82.69,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_slope_x1.0,1.0,3,6,2,15.0,"{""FALLING"": 100, ""QUALITY_AFFECTED"": 36, ""RISING"": 104, ""STABLE"": 1236, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 103}","{""FALLING"": 96.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 104.0, ""STABLE"": 1212.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 103.0}","{""FALLING"": 6.32, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 6.57, ""STABLE"": 78.08, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 6.51}","{""ACCUMULATION"": 12, ""DECLINE"": 14, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 6, ""STABLE_HIGH"": 11, ""STABLE_LOW"": 86, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 125}",280,100.0,1.0,100.0,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_slope_x1.2,1.2,3,6,2,15.0,"{""FALLING"": 66, ""QUALITY_AFFECTED"": 36, ""RISING"": 76, ""STABLE"": 1299, ""SUDDEN_DROP"": 3, ""UNSTABLE_TRANSITION"": 103}","{""FALLING"": 64.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 76.0, ""STABLE"": 1273.933, ""SUDDEN_DROP"": 2.967, ""UNSTABLE_TRANSITION"": 103.0}","{""FALLING"": 4.17, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 4.8, ""STABLE"": 82.06, ""SUDDEN_DROP"": 0.19, ""UNSTABLE_TRANSITION"": 6.51}","{""ACCUMULATION"": 8, ""DECLINE"": 8, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 10, ""STABLE_LOW"": 68, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 103}",230,95.45,0.87,63.6,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_short_window_2,1.0,2,6,2,15.0,"{""FALLING"": 198, ""QUALITY_AFFECTED"": 38, ""RISING"": 225, ""STABLE"": 1067, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 51}","{""FALLING"": 193.967, ""QUALITY_AFFECTED"": 37.0, ""RISING"": 221.033, ""STABLE"": 1047.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 51.0}","{""FALLING"": 12.51, ""QUALITY_AFFECTED"": 2.4, ""RISING"": 14.21, ""STABLE"": 67.4, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 3.22}","{""ACCUMULATION"": 21, ""DECLINE"": 18, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 3, ""STABLE_HIGH"": 10, ""STABLE_LOW"": 175, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 287}",541,76.75,0.488,33.57,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_medium_window_plus1,1.0,3,7,2,15.0,"{""FALLING"": 93, ""QUALITY_AFFECTED"": 36, ""RISING"": 95, ""STABLE"": 1244, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 111}","{""FALLING"": 89.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 95.0, ""STABLE"": 1220.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 111.0}","{""FALLING"": 5.87, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 6.0, ""STABLE"": 78.58, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 7.01}","{""ACCUMULATION"": 13, ""DECLINE"": 12, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 10, ""STABLE_LOW"": 84, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 123}",275,95.14,0.87,69.26,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_persistence_1,1.0,3,6,1,15.0,"{""FALLING"": 137, ""QUALITY_AFFECTED"": 26, ""RISING"": 142, ""STABLE"": 1148, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 126}","{""FALLING"": 134.0, ""QUALITY_AFFECTED"": 25.0, ""RISING"": 139.0, ""STABLE"": 1127.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 125.0}","{""FALLING"": 8.65, ""QUALITY_AFFECTED"": 1.64, ""RISING"": 8.97, ""STABLE"": 72.52, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 7.96}","{""ACCUMULATION"": 3, ""DECLINE"": 5, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 4, ""STABLE_HIGH"": 17, ""STABLE_LOW"": 175, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 290}",521,81.81,0.564,39.58,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_persistence_plus1,1.0,3,6,3,15.0,"{""FALLING"": 104, ""QUALITY_AFFECTED"": 46, ""RISING"": 110, ""STABLE"": 1204, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 115}","{""FALLING"": 100.0, ""QUALITY_AFFECTED"": 45.0, ""RISING"": 108.0, ""STABLE"": 1182.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 115.0}","{""FALLING"": 6.57, ""QUALITY_AFFECTED"": 2.91, ""RISING"": 6.95, ""STABLE"": 76.06, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 7.26}","{""ACCUMULATION"": 3, ""DECLINE"": 6, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 14, ""STABLE_LOW"": 103, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 178}",337,88.88,0.716,68.2,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_variability_x0.8,1.0,3,6,2,12.0,"{""FALLING"": 94, ""QUALITY_AFFECTED"": 36, ""RISING"": 86, ""STABLE"": 1229, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 134}","{""FALLING"": 90.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 86.0, ""STABLE"": 1205.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 134.0}","{""FALLING"": 5.94, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 5.43, ""STABLE"": 77.64, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 8.46}","{""ACCUMULATION"": 9, ""DECLINE"": 13, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 5, ""STABLE_HIGH"": 7, ""STABLE_LOW"": 86, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 115}",261,97.92,0.945,88.34,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_variability_x1.2,1.0,3,6,2,18.0,"{""FALLING"": 101, ""QUALITY_AFFECTED"": 36, ""RISING"": 110, ""STABLE"": 1238, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 94}","{""FALLING"": 97.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 110.0, ""STABLE"": 1214.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 94.0}","{""FALLING"": 6.38, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 6.95, ""STABLE"": 78.21, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 5.94}","{""ACCUMULATION"": 12, ""DECLINE"": 14, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 12, ""STABLE_LOW"": 86, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 135}",292,99.43,0.985,97.17,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
