start,end,episode_type,starting_radon,ending_radon,max_radon,duration_hours,robust_episode_slope_bq_m3_per_hour,confidence_score,confidence_category,confidence_reason_codes,distance_from_previous_gap_hours,distance_to_next_gap_hours,analysis_report_id
2024-05-27T22:47:00+00:00,2024-05-28T03:47:00+00:00,ACCUMULATION,221.0,284.0,284.0,5.0,12.6,0.776,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",156.0,199.967,15
2024-06-13T00:44:00+00:00,2024-06-13T02:44:00+00:00,ACCUMULATION,219.0,277.0,277.0,2.0,29.0,0.754,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",179.0,89.0,15
2024-05-28T13:47:00+00:00,2024-05-28T16:47:00+00:00,UNSTABLE_TRANSITION,247.0,225.0,273.0,3.0,-7.333,0.778,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",171.0,186.967,15
2024-05-28T10:47:00+00:00,2024-05-28T10:47:00+00:00,UNSTABLE_TRANSITION,271.0,271.0,271.0,0.0,N/A,0.719,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",168.0,192.967,15
2024-05-28T07:47:00+00:00,2024-05-28T09:47:00+00:00,UNSTABLE_TRANSITION,268.0,238.0,268.0,2.0,-15.0,0.848,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",165.0,193.967,15
2024-05-29T07:47:00+00:00,2024-05-29T13:47:00+00:00,UNSTABLE_TRANSITION,212.0,258.0,260.0,6.0,7.667,0.885,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",189.0,165.967,15
2024-06-13T07:44:00+00:00,2024-06-13T09:44:00+00:00,STABLE_HIGH,240.0,258.0,258.0,2.0,9.0,0.648,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",186.0,82.0,15
2024-06-12T07:44:00+00:00,2024-06-12T15:44:00+00:00,UNSTABLE_TRANSITION,164.0,137.0,255.0,8.0,-3.375,0.94,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",162.0,100.0,15
2024-05-28T19:47:00+00:00,2024-05-28T19:47:00+00:00,STABLE_HIGH,255.0,255.0,255.0,0.0,N/A,1.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]",177.0,183.967,15
2024-05-28T04:47:00+00:00,2024-05-28T06:47:00+00:00,DECLINE,238.0,251.0,251.0,2.0,6.5,0.858,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",162.0,196.967,15
2024-05-29T06:47:00+00:00,2024-05-29T06:47:00+00:00,UNSTABLE_TRANSITION,251.0,251.0,251.0,0.0,N/A,0.813,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",188.0,172.967,15
2024-05-29T14:47:00+00:00,2024-05-29T14:47:00+00:00,UNSTABLE_TRANSITION,251.0,251.0,251.0,0.0,N/A,0.663,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",196.0,164.967,15
2024-06-12T17:44:00+00:00,2024-06-12T23:44:00+00:00,UNSTABLE_TRANSITION,168.0,242.0,242.0,6.0,12.333,0.854,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",172.0,92.0,15
2024-06-13T03:44:00+00:00,2024-06-13T06:44:00+00:00,UNSTABLE_TRANSITION,214.0,234.0,240.0,3.0,6.667,0.931,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",182.0,85.0,15
