campaign_id,analysis_report_id,segment_id,episode_sequence_number,episode_type,start,end,duration_hours,measurement_count,starting_radon,ending_radon,min_radon,max_radon,mean_radon,median_radon,absolute_concentration_change,relative_concentration_change_percent,mean_adjacent_slope_bq_m3_per_hour,robust_episode_slope_bq_m3_per_hour,maximum_positive_slope,maximum_negative_slope,local_variability,concentration_level_distribution,dynamic_state_distribution,distance_from_previous_gap_hours,distance_to_next_gap_hours,nearby_gap_count,quality_status,confidence_score,confidence_category,confidence_reason_codes,regime_algorithm_version,episode_algorithm_version,parameter_set_identifier,legacy_episode_label,mean_slope_bq_m3_per_hour,regime_confidence_score,regime_confidence_label,algorithm_version
3,12,5,6,STABLE_LOW,2024-05-24T15:47:00+00:00,2024-05-24T16:47:00+00:00,1.0,2,11.0,7.0,7.0,11.0,9.0,9.0,-4.0,-36.364,-2.0,-4.0,0.0,-4.0,3.5,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",77.0,282.967,2,OK,0.911,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,stable low,-1.75,0.911,HIGH,episode_analysis_v2.1
3,12,5,7,UNSTABLE_TRANSITION,2024-05-24T17:47:00+00:00,2024-05-25T08:47:00+00:00,15.0,16,2.0,14.0,0.0,25.0,11.25,11.0,12.0,600.0,0.438,0.8,16.0,-16.0,2.875,"{""LOW"": {""count"": 16, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 16, ""percent"": 100.0}}",79.0,266.967,2,OK,0.847,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,0.219,0.847,HIGH,episode_analysis_v2.1
3,12,5,8,ACCUMULATION,2024-05-25T09:47:00+00:00,2024-05-25T10:47:00+00:00,1.0,2,47.0,74.0,47.0,74.0,60.5,60.5,27.0,57.447,30.0,27.0,33.0,27.0,2.25,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""RISING"": {""count"": 2, ""percent"": 100.0}}",95.0,264.967,2,OK,0.935,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,accumulation,24.0,0.935,HIGH,episode_analysis_v2.1
3,12,5,9,UNSTABLE_TRANSITION,2024-05-25T11:47:00+00:00,2024-05-29T14:47:00+00:00,99.0,100,64.0,251.0,64.0,284.0,196.3,207.0,187.0,292.188,1.77,1.889,59.0,-64.0,11.23,"{""ELEVATED"": {""count"": 33, ""percent"": 33.0}, ""HIGH"": {""count"": 61, ""percent"": 61.0}, ""LOW"": {""count"": 6, ""percent"": 6.0}}","{""UNSTABLE_TRANSITION"": {""count"": 100, ""percent"": 100.0}}",97.0,164.967,2,OK,0.837,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,1.94,0.837,HIGH,episode_analysis_v2.1
3,12,5,10,DECLINE,2024-05-29T15:47:00+00:00,2024-05-29T16:47:00+00:00,1.0,2,207.0,183.0,183.0,207.0,195.0,195.0,-24.0,-11.594,-34.0,-24.0,-24.0,-44.0,16.5,"{""ELEVATED"": {""count"": 1, ""percent"": 50.0}, ""HIGH"": {""count"": 1, ""percent"": 50.0}}","{""FALLING"": {""count"": 2, ""percent"": 100.0}}",197.0,162.967,2,OK,1.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,controlled or natural decline,-29.75,1.0,HIGH,episode_analysis_v2.1
3,12,5,11,UNSTABLE_TRANSITION,2024-05-29T17:47:00+00:00,2024-05-29T22:47:00+00:00,5.0,6,168.0,228.0,168.0,238.0,204.333,204.5,60.0,35.714,7.5,12.0,29.0,-15.0,19.0,"{""ELEVATED"": {""count"": 3, ""percent"": 50.0}, ""HIGH"": {""count"": 3, ""percent"": 50.0}}","{""UNSTABLE_TRANSITION"": {""count"": 6, ""percent"": 100.0}}",199.0,156.967,2,OK,0.755,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,6.333,0.755,HIGH,episode_analysis_v2.1
3,12,5,12,SUDDEN_DROP_EVENT,2024-05-29T23:47:00+00:00,2024-05-30T00:47:00+00:00,1.0,2,46.0,21.0,21.0,46.0,33.5,33.5,-25.0,-54.348,-103.5,-25.0,-25.0,-182.0,29.0,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""SUDDEN_DROP"": {""count"": 2, ""percent"": 100.0}}",205.0,154.967,2,OK,0.85,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""STRONG_PERSISTENT_TREND"", ""SUDDEN_NEGATIVE_CHANGE"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,sudden drop,-99.75,0.85,HIGH,episode_analysis_v2.1
3,12,5,13,UNSTABLE_TRANSITION,2024-05-30T01:47:00+00:00,2024-05-31T04:47:00+00:00,27.0,28,33.0,2.0,2.0,33.0,16.429,16.0,-31.0,-93.939,-0.679,-1.148,14.0,-14.0,6.964,"{""LOW"": {""count"": 28, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 28, ""percent"": 100.0}}",207.0,126.967,2,OK,0.868,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,-0.964,0.868,HIGH,episode_analysis_v2.1
3,12,5,14,STABLE_LOW,2024-05-31T05:47:00+00:00,2024-05-31T06:47:00+00:00,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",235.0,124.967,2,OK,0.865,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,stable low,-2.25,0.865,HIGH,episode_analysis_v2.1
3,12,5,15,UNSTABLE_TRANSITION,2024-05-31T07:47:00+00:00,2024-06-01T12:45:00+00:00,28.967,30,11.0,16.0,2.0,19.0,10.633,11.0,5.0,45.455,0.472,0.173,11.0,-10.0,2.017,"{""LOW"": {""count"": 30, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 30, ""percent"": 100.0}}",237.0,95.0,2,OK,0.845,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,0.387,0.845,HIGH,episode_analysis_v2.1
