quality_flag,count
LONG_GAP,5
MISSING_ENVIRONMENTAL,2083
MISSING_PRESSURE,2083
MISSING_RELATIVE_HUMIDITY,2083
MISSING_TEMPERATURE,2083
MODERATE_GAP,5
SHORT_GAP,15
TIMEZONE_ASSUMED,1583
VALID,500
