R_scenario,experiment,flags,forecast_mode,forecast_origin,horizon,source,status,target_timestamp
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T18:44:00+00:00,6h,,valid,2024-06-10T00:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,1h,,valid,2024-06-09T20:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,3h,,valid,2024-06-09T22:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,6h,,valid,2024-06-10T01:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,1h,,valid,2024-06-09T21:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,3h,,valid,2024-06-09T23:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,6h,,valid,2024-06-10T02:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,1h,,valid,2024-06-09T22:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,3h,,valid,2024-06-10T00:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,6h,,valid,2024-06-10T03:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,1h,,valid,2024-06-09T23:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,3h,,valid,2024-06-10T01:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,6h,,valid,2024-06-10T04:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,1h,,valid,2024-06-10T00:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,3h,,valid,2024-06-10T02:44:00+00:00
