Q_selected,R_scenario,absolute_error,covered_by_95_interval,error,event_knowledge_status,exclusion_reason,experiment,filtered_posterior_at_origin,forecast_mean,forecast_mode,forecast_origin,forecast_variance,horizon,lower_interval,observed_value,origin_phase,target_phase,target_timestamp,test_cycle,training_cycle,upper_interval,valid_status,validity_flags,validity_status
250.0,R_low,10.37,True,10.37,current_phase_transition,,Experiment A,26.118,33.37,F1_no_future_event_knowledge,2024-06-09T06:44:00+00:00,746.468,3h,-20.18,23.0,baseline,baseline,2024-06-09T09:44:00+00:00,Cycle 2,Cycle 1,86.92,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,0.731,True,-0.731,current_phase_transition,,Experiment A,26.118,40.269,F1_no_future_event_knowledge,2024-06-09T06:44:00+00:00,1401.361,6h,-33.103,41.0,baseline,baseline,2024-06-09T12:44:00+00:00,Cycle 2,Cycle 1,113.641,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,3.169,True,3.169,current_phase_transition,,Experiment A,21.637,24.169,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,272.148,1h,-8.165,21.0,baseline,baseline,2024-06-09T08:44:00+00:00,Cycle 2,Cycle 1,56.503,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,14.893,True,-14.893,current_phase_transition,,Experiment A,21.637,29.107,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,746.468,3h,-24.443,44.0,baseline,baseline,2024-06-09T10:44:00+00:00,Cycle 2,Cycle 1,82.658,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.214,True,8.214,current_phase_transition,,Experiment A,21.637,36.214,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,1401.361,6h,-37.158,28.0,baseline,baseline,2024-06-09T13:44:00+00:00,Cycle 2,Cycle 1,109.586,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,0.804,True,0.804,current_phase_transition,,Experiment A,21.267,23.804,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,272.148,1h,-8.53,23.0,baseline,baseline,2024-06-09T09:44:00+00:00,Cycle 2,Cycle 1,56.138,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.245,True,-8.245,current_phase_transition,,Experiment A,21.267,28.755,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,746.468,3h,-24.796,37.0,baseline,baseline,2024-06-09T11:44:00+00:00,Cycle 2,Cycle 1,82.305,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,12.878,True,12.878,current_phase_transition,,Experiment A,21.267,35.878,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,1401.361,6h,-37.494,23.0,baseline,baseline,2024-06-09T14:44:00+00:00,Cycle 2,Cycle 1,109.25,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,18.424,True,-18.424,current_phase_transition,,Experiment A,23.068,25.576,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,272.148,1h,-6.758,44.0,baseline,baseline,2024-06-09T10:44:00+00:00,Cycle 2,Cycle 1,57.909,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,10.532,True,-10.532,current_phase_transition,,Experiment A,23.068,30.468,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,746.468,3h,-23.082,41.0,baseline,baseline,2024-06-09T12:44:00+00:00,Cycle 2,Cycle 1,84.018,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,1.492,True,-1.492,current_phase_transition,,Experiment A,23.068,37.508,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,1401.361,6h,-35.864,39.0,baseline,baseline,2024-06-09T15:44:00+00:00,Cycle 2,Cycle 1,110.88,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,7.638,True,7.638,current_phase_transition,,Experiment A,42.45,44.638,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,272.148,1h,12.304,37.0,baseline,baseline,2024-06-09T11:44:00+00:00,Cycle 2,Cycle 1,76.972,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,20.907,True,20.907,current_phase_transition,,Experiment A,42.45,48.907,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,746.468,3h,-4.643,28.0,baseline,baseline,2024-06-09T13:44:00+00:00,Cycle 2,Cycle 1,102.458,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,36.051,True,36.051,current_phase_transition,,Experiment A,42.45,55.051,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,1401.361,6h,-18.321,19.0,baseline,baseline,2024-06-09T16:44:00+00:00,Cycle 2,Cycle 1,128.423,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,1.09,True,-1.09,current_phase_transition,,Experiment A,37.643,39.91,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,272.148,1h,7.576,41.0,baseline,baseline,2024-06-09T12:44:00+00:00,Cycle 2,Cycle 1,72.244,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,21.334,True,21.334,current_phase_transition,,Experiment A,37.643,44.334,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,746.468,3h,-9.216,23.0,baseline,baseline,2024-06-09T14:44:00+00:00,Cycle 2,Cycle 1,97.884,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,20.7,True,20.7,current_phase_transition,,Experiment A,37.643,50.7,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,1401.361,6h,-22.672,30.0,baseline,baseline,2024-06-09T17:44:00+00:00,Cycle 2,Cycle 1,124.072,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,15.122,True,15.122,current_phase_transition,,Experiment A,40.908,43.122,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,272.148,1h,10.788,28.0,baseline,baseline,2024-06-09T13:44:00+00:00,Cycle 2,Cycle 1,75.456,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.441,True,8.441,current_phase_transition,,Experiment A,40.908,47.441,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,746.468,3h,-6.109,39.0,baseline,baseline,2024-06-09T15:44:00+00:00,Cycle 2,Cycle 1,100.991,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,27.656,True,27.656,current_phase_transition,,Experiment A,40.908,53.656,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,1401.361,6h,-19.717,26.0,baseline,baseline,2024-06-09T18:44:00+00:00,Cycle 2,Cycle 1,127.028,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.678,True,8.678,current_phase_transition,,Experiment A,29.272,31.678,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,272.148,1h,-0.656,23.0,baseline,baseline,2024-06-09T14:44:00+00:00,Cycle 2,Cycle 1,64.012,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,17.371,True,17.371,current_phase_transition,,Experiment A,29.272,36.371,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,746.468,3h,-17.18,19.0,baseline,baseline,2024-06-09T16:44:00+00:00,Cycle 2,Cycle 1,89.921,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,18.124,True,18.124,current_phase_transition,,Experiment A,29.272,43.124,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,1401.361,6h,-30.248,25.0,baseline,baseline,2024-06-09T19:44:00+00:00,Cycle 2,Cycle 1,116.496,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,12.773,True,-12.773,current_phase_transition,,Experiment A,23.73,26.227,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,272.148,1h,-6.107,39.0,baseline,baseline,2024-06-09T15:44:00+00:00,Cycle 2,Cycle 1,58.561,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,1.098,True,1.098,current_phase_transition,,Experiment A,23.73,31.098,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,746.468,3h,-22.452,30.0,baseline,baseline,2024-06-09T17:44:00+00:00,Cycle 2,Cycle 1,84.648,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,6.108,True,6.108,current_phase_transition,,Experiment A,23.73,38.108,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,1401.361,6h,-35.264,32.0,baseline,baseline,2024-06-09T20:44:00+00:00,Cycle 2,Cycle 1,111.48,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,21.188,True,21.188,current_phase_transition,,Experiment A,37.925,40.188,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,272.148,1h,7.854,19.0,baseline,baseline,2024-06-09T16:44:00+00:00,Cycle 2,Cycle 1,72.522,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,18.603,True,18.603,current_phase_transition,,Experiment A,37.925,44.603,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,746.468,3h,-8.947,26.0,baseline,baseline,2024-06-09T18:44:00+00:00,Cycle 2,Cycle 1,98.153,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,32.956,True,32.956,current_phase_transition,,Experiment A,37.925,50.956,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,1401.361,6h,-22.416,18.0,baseline,baseline,2024-06-09T21:44:00+00:00,Cycle 2,Cycle 1,124.328,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,6.672,True,-6.672,current_phase_transition,,Experiment A,20.783,23.328,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,272.148,1h,-9.006,30.0,baseline,baseline,2024-06-09T17:44:00+00:00,Cycle 2,Cycle 1,55.662,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,3.294,True,3.294,current_phase_transition,,Experiment A,20.783,28.294,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,746.468,3h,-25.256,25.0,baseline,baseline,2024-06-09T19:44:00+00:00,Cycle 2,Cycle 1,81.844,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,24.44,True,24.44,current_phase_transition,,Experiment A,20.783,35.44,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,1401.361,6h,-37.932,11.0,baseline,baseline,2024-06-09T22:44:00+00:00,Cycle 2,Cycle 1,108.812,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,5.842,True,5.842,current_phase_transition,,Experiment A,29.439,31.842,F1_no_future_event_knowledge,2024-06-09T17:44:00+00:00,272.148,1h,-0.492,26.0,baseline,baseline,2024-06-09T18:44:00+00:00,Cycle 2,Cycle 1,64.175,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,4.529,True,4.529,current_phase_transition,,Experiment A,29.439,36.529,F1_no_future_event_knowledge,2024-06-09T17:44:00+00:00,746.468,3h,-17.021,32.0,baseline,baseline,2024-06-09T20:44:00+00:00,Cycle 2,Cycle 1,90.079,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,25.275,True,25.275,current_phase_transition,,Experiment A,29.439,43.275,F1_no_future_event_knowledge,2024-06-09T17:44:00+00:00,1401.361,6h,-30.098,18.0,baseline,baseline,2024-06-09T23:44:00+00:00,Cycle 2,Cycle 1,116.647,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,3.943,True,3.943,current_phase_transition,,Experiment A,26.491,28.943,F1_no_future_event_knowledge,2024-06-09T18:44:00+00:00,272.148,1h,-3.391,25.0,baseline,baseline,2024-06-09T19:44:00+00:00,Cycle 2,Cycle 1,61.277,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,15.725,True,15.725,current_phase_transition,,Experiment A,26.491,33.725,F1_no_future_event_knowledge,2024-06-09T18:44:00+00:00,746.468,3h,-19.825,18.0,baseline,baseline,2024-06-09T21:44:00+00:00,Cycle 2,Cycle 1,87.276,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,22.607,True,22.607,current_phase_transition,,Experiment A,26.491,40.607,F1_no_future_event_knowledge,2024-06-09T18:44:00+00:00,1401.361,6h,-32.765,18.0,baseline,baseline,2024-06-10T00:44:00+00:00,Cycle 2,Cycle 1,113.979,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,4.198,True,-4.198,current_phase_transition,,Experiment A,25.332,27.802,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,272.148,1h,-4.532,32.0,baseline,baseline,2024-06-09T20:44:00+00:00,Cycle 2,Cycle 1,60.136,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,21.622,True,21.622,current_phase_transition,,Experiment A,25.332,32.622,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,746.468,3h,-20.928,11.0,baseline,baseline,2024-06-09T22:44:00+00:00,Cycle 2,Cycle 1,86.172,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,32.557,True,32.557,current_phase_transition,,Experiment A,25.332,39.557,F1_no_future_event_knowledge,2024-06-09T19:44:00+00:00,1401.361,6h,-33.815,7.0,baseline,baseline,2024-06-10T01:44:00+00:00,Cycle 2,Cycle 1,112.93,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,16.013,True,16.013,current_phase_transition,,Experiment A,31.647,34.013,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,272.148,1h,1.679,18.0,baseline,baseline,2024-06-09T21:44:00+00:00,Cycle 2,Cycle 1,66.347,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,20.63,True,20.63,current_phase_transition,,Experiment A,31.647,38.63,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,746.468,3h,-14.92,18.0,baseline,baseline,2024-06-09T23:44:00+00:00,Cycle 2,Cycle 1,92.18,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,27.273,True,27.273,current_phase_transition,,Experiment A,31.647,45.273,F1_no_future_event_knowledge,2024-06-09T20:44:00+00:00,1401.361,6h,-28.099,18.0,baseline,baseline,2024-06-10T02:44:00+00:00,Cycle 2,Cycle 1,118.645,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,10.916,True,10.916,current_phase_transition,,Experiment A,19.347,21.916,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,272.148,1h,-10.417,11.0,baseline,baseline,2024-06-09T22:44:00+00:00,Cycle 2,Cycle 1,54.25,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.929,True,8.929,current_phase_transition,,Experiment A,19.347,26.929,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,746.468,3h,-26.622,18.0,baseline,baseline,2024-06-10T00:44:00+00:00,Cycle 2,Cycle 1,80.479,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,18.141,True,18.141,current_phase_transition,,Experiment A,19.347,34.141,F1_no_future_event_knowledge,2024-06-09T21:44:00+00:00,1401.361,6h,-39.231,16.0,baseline,baseline,2024-06-10T03:44:00+00:00,Cycle 2,Cycle 1,107.513,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,3.39,True,-3.39,current_phase_transition,,Experiment A,11.918,14.61,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,272.148,1h,-17.724,18.0,baseline,baseline,2024-06-09T23:44:00+00:00,Cycle 2,Cycle 1,46.944,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,12.861,True,12.861,current_phase_transition,,Experiment A,11.918,19.861,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,746.468,3h,-33.689,7.0,baseline,baseline,2024-06-10T01:44:00+00:00,Cycle 2,Cycle 1,73.411,valid,PROVISIONAL_EVENT_BOUNDARY,valid
