R_scenario,empirical_coverage,experiment,forecast_mode,horizon,interval_score,mean_interval_width,target_phase
R_nominal,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,61.98,rapid_removal
R_high,0.8,Experiment B,F1_no_future_event_knowledge,1h,122.731,61.348,accumulation
R_high,1.0,Experiment B,F1_no_future_event_knowledge,1h,61.615,61.615,baseline
R_high,1.0,Experiment B,F1_no_future_event_knowledge,1h,60.55,60.55,post_event
R_high,0.667,Experiment B,F1_no_future_event_knowledge,1h,1901.547,46.867,rapid_removal
R_high,0.864,Experiment B,F1_no_future_event_knowledge,3h,142.982,80.175,accumulation
R_high,1.0,Experiment B,F1_no_future_event_knowledge,3h,80.376,80.376,baseline
R_high,1.0,Experiment B,F1_no_future_event_knowledge,3h,78.23,78.23,post_event
R_high,0.333,Experiment B,F1_no_future_event_knowledge,3h,3468.498,66.644,rapid_removal
R_high,0.918,Experiment B,F1_no_future_event_knowledge,6h,156.348,99.912,accumulation
R_high,1.0,Experiment B,F1_no_future_event_knowledge,6h,100.069,100.069,baseline
R_high,0.957,Experiment B,F1_no_future_event_knowledge,6h,321.149,97.967,post_event
R_high,0.0,Experiment B,F1_no_future_event_knowledge,6h,4247.085,99.912,rapid_removal
R_low,0.582,Experiment B,F1_no_future_event_knowledge,1h,208.631,42.893,accumulation
R_low,1.0,Experiment B,F1_no_future_event_knowledge,1h,42.847,42.847,baseline
R_low,1.0,Experiment B,F1_no_future_event_knowledge,1h,42.812,42.812,post_event
R_low,0.667,Experiment B,F1_no_future_event_knowledge,1h,2163.294,40.481,rapid_removal
R_low,0.818,Experiment B,F1_no_future_event_knowledge,3h,174.115,68.389,accumulation
R_low,1.0,Experiment B,F1_no_future_event_knowledge,3h,68.362,68.362,baseline
R_low,1.0,Experiment B,F1_no_future_event_knowledge,3h,67.428,67.428,post_event
R_low,0.333,Experiment B,F1_no_future_event_knowledge,3h,3990.584,58.784,rapid_removal
R_low,0.873,Experiment B,F1_no_future_event_knowledge,6h,178.855,91.99,accumulation
R_low,1.0,Experiment B,F1_no_future_event_knowledge,6h,91.971,91.971,baseline
R_low,0.957,Experiment B,F1_no_future_event_knowledge,6h,343.608,90.882,post_event
R_low,0.0,Experiment B,F1_no_future_event_knowledge,6h,4065.883,91.99,rapid_removal
R_nominal,0.682,Experiment B,F1_no_future_event_knowledge,1h,158.741,49.351,accumulation
R_nominal,1.0,Experiment B,F1_no_future_event_knowledge,1h,49.288,49.288,baseline
R_nominal,1.0,Experiment B,F1_no_future_event_knowledge,1h,49.091,49.091,post_event
R_nominal,0.667,Experiment B,F1_no_future_event_knowledge,1h,2085.053,42.72,rapid_removal
R_nominal,0.855,Experiment B,F1_no_future_event_knowledge,3h,159.096,72.244,accumulation
R_nominal,1.0,Experiment B,F1_no_future_event_knowledge,3h,72.203,72.203,baseline
R_nominal,1.0,Experiment B,F1_no_future_event_knowledge,3h,71.008,71.008,post_event
R_nominal,0.333,Experiment B,F1_no_future_event_knowledge,3h,3757.795,61.355,rapid_removal
R_nominal,0.882,Experiment B,F1_no_future_event_knowledge,6h,167.352,94.514,accumulation
R_nominal,1.0,Experiment B,F1_no_future_event_knowledge,6h,94.484,94.484,baseline
R_nominal,0.957,Experiment B,F1_no_future_event_knowledge,6h,332.524,93.171,post_event
R_nominal,0.0,Experiment B,F1_no_future_event_knowledge,6h,4086.461,94.514,rapid_removal
R_high,0.8,Experiment B,F2_known_intervention_scenario,1h,122.731,61.348,accumulation
R_high,1.0,Experiment B,F2_known_intervention_scenario,1h,61.615,61.615,baseline
R_high,1.0,Experiment B,F2_known_intervention_scenario,1h,60.55,60.55,post_event
R_high,1.0,Experiment B,F2_known_intervention_scenario,1h,39.669,39.669,rapid_removal
R_high,0.864,Experiment B,F2_known_intervention_scenario,3h,142.982,80.175,accumulation
R_high,1.0,Experiment B,F2_known_intervention_scenario,3h,80.376,80.376,baseline
R_high,1.0,Experiment B,F2_known_intervention_scenario,3h,78.23,78.23,post_event
R_high,1.0,Experiment B,F2_known_intervention_scenario,3h,39.853,39.853,rapid_removal
R_high,0.918,Experiment B,F2_known_intervention_scenario,6h,156.348,99.912,accumulation
R_high,1.0,Experiment B,F2_known_intervention_scenario,6h,100.069,100.069,baseline
R_high,1.0,Experiment B,F2_known_intervention_scenario,6h,94.757,94.757,post_event
R_high,1.0,Experiment B,F2_known_intervention_scenario,6h,40.144,40.144,rapid_removal
R_low,0.582,Experiment B,F2_known_intervention_scenario,1h,208.631,42.893,accumulation
R_low,1.0,Experiment B,F2_known_intervention_scenario,1h,42.847,42.847,baseline
R_low,1.0,Experiment B,F2_known_intervention_scenario,1h,42.812,42.812,post_event
R_low,1.0,Experiment B,F2_known_intervention_scenario,1h,39.275,39.275,rapid_removal
R_low,0.818,Experiment B,F2_known_intervention_scenario,3h,174.115,68.389,accumulation
R_low,1.0,Experiment B,F2_known_intervention_scenario,3h,68.362,68.362,baseline
R_low,1.0,Experiment B,F2_known_intervention_scenario,3h,67.428,67.428,post_event
R_low,1.0,Experiment B,F2_known_intervention_scenario,3h,39.708,39.708,rapid_removal
R_low,0.873,Experiment B,F2_known_intervention_scenario,6h,178.855,91.99,accumulation
R_low,1.0,Experiment B,F2_known_intervention_scenario,6h,91.971,91.971,baseline
R_low,1.0,Experiment B,F2_known_intervention_scenario,6h,88.016,88.016,post_event
R_low,1.0,Experiment B,F2_known_intervention_scenario,6h,40.021,40.021,rapid_removal
R_nominal,0.682,Experiment B,F2_known_intervention_scenario,1h,158.741,49.351,accumulation
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,1h,49.288,49.288,baseline
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,1h,49.091,49.091,post_event
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,1h,39.411,39.411,rapid_removal
R_nominal,0.855,Experiment B,F2_known_intervention_scenario,3h,159.096,72.244,accumulation
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,3h,72.203,72.203,baseline
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,3h,71.008,71.008,post_event
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,3h,39.753,39.753,rapid_removal
R_nominal,0.882,Experiment B,F2_known_intervention_scenario,6h,167.352,94.514,accumulation
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,6h,94.484,94.484,baseline
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,6h,90.195,90.195,post_event
R_nominal,1.0,Experiment B,F2_known_intervention_scenario,6h,40.059,40.059,rapid_removal
