accumulation_apparent_C_eq,accumulation_apparent_kappa,accumulation_linear_slope,apparent_source_s_accumulation,boundary_D2_kappa_range,cycle_label,floor_kappa_range,post_event_mean,rapid_removal_D1_kappa,rapid_removal_D2_kappa,rapid_removal_D3_kappa,rapid_removal_half_time_D2_h
233.57562,0.043411,1.66055,10.139655,1.793051,Cycle 1,0.034519,13.565217,2.405294,1.793076,1.827595,0.386569
258.118027,0.024914,2.166667,6.430751,2.021408,Cycle 2,0.087932,13.347826,0.662638,0.845289,0.757357,0.820012
