utc_timestamp,source_file_ids,values,quality_flags,note
2025-10-26T02:08:35+00:00,"[1, 4]","[{""radon_bq_m3"": 64.0, ""temperature_c"": 21.2, ""humidity_percent"": 67.0, ""pressure_hpa"": 1007.7}, {""radon_bq_m3"": 40.0, ""temperature_c"": 21.3, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.2}, {""radon_bq_m3"": 64.0, ""temperature_c"": 21.2, ""humidity_percent"": 67.0, ""pressure_hpa"": 1007.7}, {""radon_bq_m3"": 40.0, ""temperature_c"": 21.3, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.2}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
2025-10-26T02:18:35+00:00,[1],"[{""radon_bq_m3"": 64.0, ""temperature_c"": 21.2, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.8}, {""radon_bq_m3"": 31.0, ""temperature_c"": 21.3, ""humidity_percent"": 69.0, ""pressure_hpa"": 1007.5}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
2025-10-26T02:28:35+00:00,[1],"[{""radon_bq_m3"": 66.0, ""temperature_c"": 21.2, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.5}, {""radon_bq_m3"": 31.0, ""temperature_c"": 21.2, ""humidity_percent"": 69.0, ""pressure_hpa"": 1006.9}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
2025-10-26T02:38:35+00:00,[1],"[{""radon_bq_m3"": 51.0, ""temperature_c"": 21.2, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.2}, {""radon_bq_m3"": 32.0, ""temperature_c"": 21.2, ""humidity_percent"": 69.0, ""pressure_hpa"": 1006.8}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
2025-10-26T02:48:35+00:00,[1],"[{""radon_bq_m3"": 37.0, ""temperature_c"": 21.2, ""humidity_percent"": 68.0, ""pressure_hpa"": 1007.3}, {""radon_bq_m3"": 33.0, ""temperature_c"": 21.2, ""humidity_percent"": 69.0, ""pressure_hpa"": 1006.9}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
2025-11-17T20:00:07+00:00,"[1, 4]","[{""radon_bq_m3"": 52.0, ""temperature_c"": 19.2, ""humidity_percent"": 69.0, ""pressure_hpa"": 1009.6}, {""radon_bq_m3"": 43.0, ""temperature_c"": 19.3, ""humidity_percent"": 69.0, ""pressure_hpa"": 1009.5}]","[""DUPLICATE_CONFLICT"", ""OVERLAP_SOURCE""]",Duplicate timestamp with conflicting values; retained first row and flagged conflict.
