field,value
expected_interval_minutes,10.0
gap_tolerance_multiplier,1.5
interval_distribution,"{""0.03"": 319, ""0.05"": 193, ""0.07"": 37, ""1.55"": 116, ""1.57"": 23, ""1.6"": 1587, ""1.62"": 1085, ""1.63"": 384, ""4.45"": 1, ""5.58"": 1, ""6.78"": 1, ""7.1"": 1, ""7.27"": 1, ""7.88"": 1, ""8.37"": 386, ""8.38"": 1081, ""8.4"": 1589, ""8.43"": 24, ""8.45"": 116, ""8.85"": 1, ""9.25"": 1, ""9.27"": 1, ""9.93"": 36, ""9.95"": 194, ""9.97"": 319, ""9.98"": 46, ""10.0"": 27807, ""10.02"": 42, ""11.52"": 1, ""15.77"": 1, ""17.6"": 1, ""28.1"": 1, ""50.0"": 1, ""56.43"": 1, ""58.03"": 1, ""58.7"": 1, ""58.77"": 1, ""59.18"": 1, ""59.5"": 1, ""59.73"": 1, ""59.98"": 13, ""60.0"": 1366, ""60.02"": 13, ""68.38"": 1, ""70.0"": 1, ""7226.05"": 1, ""66139.88"": 1, ""136323.62"": 1}"
observed_interval_count,36802
irregular_interval_count,8356
gap_count,406
short_gap_count,403
long_gap_count,3
