field,value
expected_interval_minutes,60.0
gap_tolerance_multiplier,1.5
interval_distribution,"{""2.0"": 1, ""4.0"": 1, ""56.0"": 2, ""58.0"": 2, ""60.0"": 1551, ""119.0"": 1, ""120.0"": 14, ""240.0"": 3, ""360.0"": 2, ""600.0"": 2, ""660.0"": 1, ""720.0"": 1, ""840.0"": 1}"
observed_interval_count,1582
irregular_interval_count,27
gap_count,25
short_gap_count,0
long_gap_count,0
