feature,sample_count,q01,q05,q10,q25,q50,q75,q90,q95,q99
adjacent_slope_bq_m3_per_hour,1557,-44.0,-17.0,-12.0,-6.0,0.0,6.0,13.0,18.0,33.0
short_slope_bq_m3_per_hour,1557,-15.333,-7.0,-4.667,-2.333,0.0,2.333,5.0,7.667,15.0
medium_slope_bq_m3_per_hour,1557,-20.6,-3.833,-2.667,-1.167,0.0,1.5,3.167,4.667,10.833
local_variability_mad,1583,0.0,0.0,2.0,2.0,4.0,6.0,9.0,13.0,23.0
