parameter_set_identifier,slope_threshold_multiplier,short_window_observations,medium_window_observations,minimum_state_persistence_observations,variability_threshold_bq_m3,state_counts,state_duration_hours,state_percentages,episode_count_by_type,episode_transition_count,agreement_with_baseline_percent,cohen_kappa,baseline_episode_preservation_percent,metric_note
dynamic_slope_x0.8,0.8,4,7,2,15.0,"{""FALLING"": 63, ""QUALITY_AFFECTED"": 36, ""RISING"": 70, ""STABLE"": 1309, ""SUDDEN_DROP"": 8, ""SUDDEN_RISE"": 2, ""UNSTABLE_TRANSITION"": 95}","{""FALLING"": 62.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 68.0, ""STABLE"": 1285.933, ""SUDDEN_DROP"": 7.967, ""SUDDEN_RISE"": 2.0, ""UNSTABLE_TRANSITION"": 94.0}","{""FALLING"": 3.98, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 4.42, ""STABLE"": 82.69, ""SUDDEN_DROP"": 0.51, ""SUDDEN_RISE"": 0.13, ""UNSTABLE_TRANSITION"": 6.0}","{""ACCUMULATION"": 11, ""DECLINE"": 10, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 6, ""STABLE_HIGH"": 9, ""STABLE_LOW"": 40, ""SUDDEN_DROP_EVENT"": 7, ""SUDDEN_RISE_EVENT"": 2, ""UNSTABLE_TRANSITION"": 54}",225,98.17,0.938,88.59,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_slope_x1.0,1.0,4,7,2,15.0,"{""FALLING"": 47, ""QUALITY_AFFECTED"": 36, ""RISING"": 68, ""STABLE"": 1332, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 96}","{""FALLING"": 46.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 67.0, ""STABLE"": 1307.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 95.0}","{""FALLING"": 2.97, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 4.3, ""STABLE"": 84.14, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 6.06}","{""ACCUMULATION"": 12, ""DECLINE"": 8, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 8, ""STABLE_LOW"": 38, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 47}",194,100.0,1.0,100.0,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_slope_x1.2,1.2,4,7,2,15.0,"{""FALLING"": 37, ""QUALITY_AFFECTED"": 36, ""RISING"": 56, ""STABLE"": 1359, ""SUDDEN_DROP"": 3, ""UNSTABLE_TRANSITION"": 92}","{""FALLING"": 36.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 55.0, ""STABLE"": 1334.933, ""SUDDEN_DROP"": 2.967, ""UNSTABLE_TRANSITION"": 91.0}","{""FALLING"": 2.34, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 3.54, ""STABLE"": 85.85, ""SUDDEN_DROP"": 0.19, ""UNSTABLE_TRANSITION"": 5.81}","{""ACCUMULATION"": 8, ""DECLINE"": 5, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 9, ""STABLE_HIGH"": 9, ""STABLE_LOW"": 34, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 44}",180,98.17,0.932,77.85,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_short_window_2,1.0,3,7,2,15.0,"{""FALLING"": 93, ""QUALITY_AFFECTED"": 36, ""RISING"": 95, ""STABLE"": 1244, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 111}","{""FALLING"": 89.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 95.0, ""STABLE"": 1220.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 111.0}","{""FALLING"": 5.87, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 6.0, ""STABLE"": 78.58, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 7.01}","{""ACCUMULATION"": 13, ""DECLINE"": 12, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 6, ""STABLE_LOW"": 45, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 60}",275,89.13,0.67,47.65,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_medium_window_plus1,1.0,4,8,2,15.0,"{""FALLING"": 38, ""QUALITY_AFFECTED"": 36, ""RISING"": 54, ""STABLE"": 1345, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 106}","{""FALLING"": 37.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 53.0, ""STABLE"": 1320.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 105.0}","{""FALLING"": 2.4, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 3.41, ""STABLE"": 84.97, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 6.7}","{""ACCUMULATION"": 7, ""DECLINE"": 4, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 8, ""STABLE_HIGH"": 8, ""STABLE_LOW"": 32, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 45}",183,95.45,0.837,55.7,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_persistence_1,1.0,4,7,1,15.0,"{""FALLING"": 61, ""QUALITY_AFFECTED"": 26, ""RISING"": 81, ""STABLE"": 1271, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 140}","{""FALLING"": 59.0, ""QUALITY_AFFECTED"": 25.0, ""RISING"": 79.0, ""STABLE"": 1247.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 140.0}","{""FALLING"": 3.85, ""QUALITY_AFFECTED"": 1.64, ""RISING"": 5.12, ""STABLE"": 80.29, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 8.84}","{""ACCUMULATION"": 2, ""DECLINE"": 4, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 9, ""STABLE_HIGH"": 8, ""STABLE_LOW"": 46, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 89}",374,87.74,0.611,44.3,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_persistence_plus1,1.0,4,7,3,15.0,"{""FALLING"": 47, ""QUALITY_AFFECTED"": 44, ""RISING"": 50, ""STABLE"": 1320, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 118}","{""FALLING"": 46.0, ""QUALITY_AFFECTED"": 43.0, ""RISING"": 49.0, ""STABLE"": 1297.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 115.0}","{""FALLING"": 2.97, ""QUALITY_AFFECTED"": 2.78, ""RISING"": 3.16, ""STABLE"": 83.39, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 7.45}","{""ACCUMULATION"": 2, ""DECLINE"": 4, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 10, ""STABLE_HIGH"": 11, ""STABLE_LOW"": 34, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 56}",229,93.81,0.787,65.77,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_variability_x0.8,1.0,4,7,2,12.0,"{""FALLING"": 35, ""QUALITY_AFFECTED"": 36, ""RISING"": 50, ""STABLE"": 1320, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 138}","{""FALLING"": 34.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 49.0, ""STABLE"": 1295.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 137.0}","{""FALLING"": 2.21, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 3.16, ""STABLE"": 83.39, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 8.72}","{""ACCUMULATION"": 9, ""DECLINE"": 5, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 5, ""STABLE_HIGH"": 7, ""STABLE_LOW"": 38, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 40}",173,97.22,0.904,73.83,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
dynamic_variability_x1.2,1.0,4,7,2,18.0,"{""FALLING"": 49, ""QUALITY_AFFECTED"": 36, ""RISING"": 76, ""STABLE"": 1336, ""SUDDEN_DROP"": 4, ""UNSTABLE_TRANSITION"": 82}","{""FALLING"": 48.0, ""QUALITY_AFFECTED"": 35.0, ""RISING"": 75.0, ""STABLE"": 1311.933, ""SUDDEN_DROP"": 3.967, ""UNSTABLE_TRANSITION"": 81.0}","{""FALLING"": 3.1, ""QUALITY_AFFECTED"": 2.27, ""RISING"": 4.8, ""STABLE"": 84.4, ""SUDDEN_DROP"": 0.25, ""UNSTABLE_TRANSITION"": 5.18}","{""ACCUMULATION"": 14, ""DECLINE"": 8, ""QUALITY_AFFECTED"": 26, ""STABLE_ELEVATED"": 7, ""STABLE_HIGH"": 10, ""STABLE_LOW"": 38, ""SUDDEN_DROP_EVENT"": 3, ""UNSTABLE_TRANSITION"": 48}",207,99.05,0.967,93.29,Deterministic sensitivity around dynamic-state parameters only; concentration thresholds are not changed here.
