inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-06-07 to 2024-06-14,2024-06-10T15:44:00+00:00,2024-06-10T17:44:00+00:00,"{""LOW"": {""count"": 3, ""percent"": 100.0}}","{""RISING"": {""count"": 3, ""percent"": 100.0}}",ACCUMULATION,76.0,85.0,76.0,85.0,4.5,11.0,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_SLOPE_POSITIVE"", ""HIGH_LOCAL_VARIABILITY""]"
2024-06-07 to 2024-06-14,2024-06-10T18:44:00+00:00,2024-06-10T22:44:00+00:00,"{""LOW"": {""count"": 5, ""percent"": 100.0}}","{""STABLE"": {""count"": 5, ""percent"": 100.0}}",STABLE_LOW,81.0,87.0,74.0,87.0,1.5,3.8,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-10T23:44:00+00:00,2024-06-10T23:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,101.0,101.0,101.0,101.0,N/A,5.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-11T00:44:00+00:00,2024-06-11T02:44:00+00:00,"{""LOW"": {""count"": 3, ""percent"": 100.0}}","{""STABLE"": {""count"": 3, ""percent"": 100.0}}",STABLE_LOW,87.0,85.0,85.0,98.0,-1.0,8.667,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-11T03:44:00+00:00,2024-06-11T05:44:00+00:00,"{""ELEVATED"": {""count"": 3, ""percent"": 100.0}}","{""RISING"": {""count"": 3, ""percent"": 100.0}}",ACCUMULATION,112.0,108.0,108.0,137.0,-2.0,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-11T06:44:00+00:00,2024-06-11T09:44:00+00:00,"{""ELEVATED"": {""count"": 4, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,110.0,143.0,110.0,143.0,11.0,8.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT""]"
2024-06-07 to 2024-06-14,2024-06-11T10:44:00+00:00,2024-06-11T10:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,125.0,125.0,125.0,125.0,N/A,12.0,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-11T11:44:00+00:00,2024-06-11T19:44:00+00:00,"{""ELEVATED"": {""count"": 4, ""percent"": 100.0}}","{""STABLE"": {""count"": 4, ""percent"": 100.0}}",STABLE_ELEVATED,139.0,143.0,114.0,159.0,-2.333,12.5,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-06-07 to 2024-06-14,2024-06-11T20:44:00+00:00,2024-06-11T20:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,181.0,181.0,181.0,181.0,N/A,9.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-11T21:44:00+00:00,2024-06-11T21:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,154.0,154.0,154.0,154.0,N/A,7.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]"
