record_no,datetime,radon_bq_m3
810,2024-06-20 08:44:00,67
811,2024-06-20 09:44:00,49
812,2024-06-20 10:44:00,39
813,2024-06-20 11:44:00,47
814,2024-06-20 12:44:00,37
815,2024-06-20 13:44:00,41
816,2024-06-20 14:44:00,19
817,2024-06-20 15:44:00,25
818,2024-06-20 16:44:00,49
819,2024-06-20 17:44:00,28
820,2024-06-20 18:44:00,41
821,2024-06-20 19:44:00,28
822,2024-06-20 20:44:00,30
823,2024-06-20 21:44:00,35
824,2024-06-20 22:44:00,30
825,2024-06-20 23:44:00,37
826,2024-06-21 00:44:00,30
827,2024-06-21 01:44:00,33
828,2024-06-21 02:44:00,35
829,2024-06-21 03:44:00,23
830,2024-06-21 04:44:00,39
831,2024-06-21 05:44:00,35
832,2024-06-21 06:44:00,26
833,2024-06-21 07:44:00,30
834,2024-06-21 08:44:00,35
835,2024-06-21 09:44:00,30
836,2024-06-21 10:44:00,19
837,2024-06-21 11:44:00,33
838,2024-06-21 12:44:00,33
839,2024-06-21 13:44:00,23
840,2024-06-21 14:44:00,37
841,2024-06-21 15:44:00,37
842,2024-06-21 16:44:00,33
843,2024-06-21 17:44:00,46
844,2024-06-21 18:44:00,41
845,2024-06-21 19:44:00,32
846,2024-06-21 20:44:00,30
847,2024-06-21 21:44:00,26
848,2024-06-21 22:44:00,21
849,2024-06-21 23:44:00,19
850,2024-06-22 00:44:00,30
851,2024-06-22 01:44:00,37
852,2024-06-22 02:44:00,25
853,2024-06-22 03:44:00,21
854,2024-06-22 04:44:00,11
855,2024-06-22 05:44:00,19
856,2024-06-22 06:44:00,11
857,2024-06-22 07:44:00,9
858,2024-06-22 08:44:00,14
859,2024-06-22 09:44:00,26
860,2024-06-22 10:44:00,11
861,2024-06-22 11:44:00,16
862,2024-06-22 12:44:00,11
863,2024-06-22 13:44:00,18
864,2024-06-22 14:44:00,16
865,2024-06-22 15:44:00,26
866,2024-06-22 16:44:00,28
867,2024-06-22 17:44:00,28
868,2024-06-22 18:44:00,14
869,2024-06-22 19:44:00,7
870,2024-06-22 20:44:00,5
871,2024-06-22 21:44:00,5
872,2024-06-22 22:44:00,5
873,2024-06-22 23:44:00,5
874,2024-06-23 00:44:00,9
875,2024-06-23 01:44:00,2
876,2024-06-23 02:44:00,7
877,2024-06-23 03:44:00,9
878,2024-06-23 04:44:00,5
879,2024-06-23 05:44:00,11
880,2024-06-23 06:44:00,11
881,2024-06-23 07:44:00,9
882,2024-06-23 08:44:00,11
883,2024-06-23 09:44:00,9
884,2024-06-23 10:44:00,9
885,2024-06-23 11:44:00,9
886,2024-06-23 12:44:00,2
887,2024-06-23 13:44:00,7
888,2024-06-23 14:44:00,14
889,2024-06-23 15:44:00,14
890,2024-06-23 16:44:00,14
891,2024-06-23 17:44:00,11
892,2024-06-23 18:44:00,11
893,2024-06-23 19:44:00,2
894,2024-06-23 20:44:00,11
895,2024-06-23 21:44:00,7
896,2024-06-23 22:44:00,14
897,2024-06-23 23:44:00,5
898,2024-06-24 00:44:00,2
899,2024-06-24 01:44:00,2
900,2024-06-24 02:44:00,9
901,2024-06-24 03:44:00,9
902,2024-06-24 04:44:00,7
903,2024-06-24 05:44:00,18
904,2024-06-24 06:44:00,9
905,2024-06-24 07:44:00,18
906,2024-06-24 08:44:00,23
907,2024-06-24 09:44:00,5
908,2024-06-24 10:44:00,9
909,2024-06-24 11:44:00,5
910,2024-06-24 12:44:00,7
911,2024-06-24 13:44:00,9
912,2024-06-24 14:44:00,0
913,2024-06-24 15:44:00,2
914,2024-06-24 16:44:00,2
915,2024-06-24 18:44:00,7
916,2024-06-24 19:44:00,2
917,2024-06-24 20:44:00,2
918,2024-06-24 21:44:00,2
919,2024-06-24 22:44:00,7
920,2024-06-24 23:44:00,7
921,2024-06-25 00:44:00,2
922,2024-06-25 01:44:00,2
923,2024-06-25 02:44:00,18
924,2024-06-25 03:44:00,11
925,2024-06-25 04:44:00,5
926,2024-06-25 05:44:00,11
927,2024-06-25 06:44:00,7
928,2024-06-25 07:44:00,7
929,2024-06-25 08:44:00,18
930,2024-06-25 09:44:00,16
931,2024-06-25 10:44:00,9
932,2024-06-25 11:44:00,7
933,2024-06-25 12:44:00,7
934,2024-06-25 13:44:00,5
935,2024-06-25 17:44:00,7
936,2024-06-25 18:44:00,5
937,2024-06-25 20:44:00,5
938,2024-06-25 21:44:00,0
939,2024-06-25 22:44:00,14
940,2024-06-25 23:44:00,5
941,2024-06-26 00:44:00,14
942,2024-06-26 01:44:00,5
943,2024-06-26 02:44:00,7
944,2024-06-26 03:44:00,16
945,2024-06-26 04:44:00,16
946,2024-06-26 05:44:00,18
947,2024-06-26 06:44:00,26
948,2024-06-26 07:44:00,26
949,2024-06-26 08:44:00,28
950,2024-06-26 09:44:00,32
951,2024-06-26 10:44:00,21
952,2024-06-26 11:44:00,16
953,2024-06-26 12:44:00,14
954,2024-06-26 13:44:00,19
955,2024-06-26 14:44:00,11
956,2024-06-26 15:44:00,16
957,2024-06-26 16:44:00,23
958,2024-06-26 20:44:00,5
959,2024-06-26 21:44:00,7
960,2024-06-26 22:44:00,7
961,2024-06-26 23:44:00,2
962,2024-06-27 00:44:00,2
963,2024-06-27 01:44:00,2
964,2024-06-27 02:44:00,0
965,2024-06-27 03:44:00,2
966,2024-06-27 04:44:00,2
967,2024-06-27 05:44:00,2
968,2024-06-27 07:44:00,18
969,2024-06-27 08:44:00,16
970,2024-06-27 09:44:00,21
971,2024-06-27 10:44:00,14
972,2024-06-27 11:44:00,14
973,2024-06-27 12:44:00,5
974,2024-06-27 13:44:00,7
975,2024-06-27 14:44:00,11
976,2024-06-27 20:44:00,7
977,2024-06-27 21:44:00,9
978,2024-06-27 22:44:00,2
979,2024-06-27 23:44:00,7
980,2024-06-28 00:44:00,11
981,2024-06-28 01:44:00,11
982,2024-06-28 02:44:00,2
983,2024-06-28 03:44:00,11
984,2024-06-28 04:44:00,11
985,2024-06-28 05:44:00,16
986,2024-06-28 06:44:00,19
987,2024-06-28 07:44:00,14
988,2024-06-28 08:44:00,21
989,2024-06-28 09:44:00,30
990,2024-06-28 10:44:00,16
991,2024-06-28 11:44:00,39
992,2024-06-28 12:44:00,14
993,2024-06-28 13:44:00,5
994,2024-06-28 15:44:00,7
995,2024-06-28 16:44:00,9
996,2024-06-28 17:44:00,11
997,2024-06-28 18:44:00,14
998,2024-06-28 20:44:00,14
999,2024-06-28 21:44:00,21
1000,2024-06-28 22:44:00,18
1001,2024-06-28 23:44:00,25
1002,2024-06-29 00:44:00,18
1003,2024-06-29 01:44:00,28
1004,2024-06-29 02:44:00,18
1005,2024-06-29 03:44:00,14
1006,2024-06-29 04:44:00,18
1007,2024-06-29 05:44:00,19
1008,2024-06-29 06:44:00,16
1009,2024-06-29 07:44:00,21
1010,2024-06-29 08:44:00,23
1011,2024-06-29 09:44:00,18
1012,2024-06-29 10:44:00,11
1013,2024-06-29 11:44:00,18
1014,2024-06-29 12:44:00,9
1015,2024-06-29 13:44:00,11
1016,2024-06-29 14:44:00,11
1017,2024-06-29 20:44:00,14
1018,2024-06-29 21:44:00,14
1019,2024-06-29 22:44:00,21
1020,2024-06-29 23:44:00,14
1021,2024-06-30 00:44:00,18
1022,2024-06-30 01:44:00,23
1023,2024-06-30 02:44:00,19
1024,2024-06-30 03:44:00,2
1025,2024-06-30 04:44:00,16
1026,2024-06-30 05:44:00,11
1027,2024-06-30 06:44:00,16
1028,2024-06-30 07:44:00,11
1029,2024-06-30 08:44:00,21
1030,2024-06-30 09:44:00,30
1031,2024-06-30 10:44:00,39
1032,2024-06-30 11:44:00,32
1033,2024-06-30 12:44:00,33
1034,2024-06-30 13:44:00,28
1035,2024-06-30 14:44:00,21
1036,2024-06-30 15:44:00,25
1037,2024-06-30 16:44:00,37
1038,2024-06-30 17:44:00,41
1039,2024-06-30 18:44:00,25
1040,2024-06-30 19:44:00,19
1041,2024-06-30 20:44:00,16
1042,2024-06-30 21:44:00,19
1043,2024-06-30 22:44:00,5
1044,2024-06-30 23:44:00,11
1045,2024-07-01 00:44:00,2
1046,2024-07-01 01:44:00,11
1047,2024-07-01 02:44:00,18
1048,2024-07-01 03:44:00,11
1049,2024-07-01 04:44:00,7
1050,2024-07-01 05:44:00,11
1051,2024-07-01 06:44:00,16
1052,2024-07-01 07:44:00,11
1053,2024-07-01 08:44:00,5
1054,2024-07-01 09:44:00,19
1055,2024-07-01 10:44:00,19
1056,2024-07-01 11:44:00,16
1057,2024-07-01 12:40:00,9
1058,2024-07-01 12:44:00,9
1059,2024-07-01 13:40:00,16
1060,2024-07-01 14:40:00,5
1061,2024-07-01 15:40:00,19
1062,2024-07-01 16:40:00,14
1063,2024-07-01 17:40:00,5
1064,2024-07-01 18:40:00,11
1065,2024-07-01 19:40:00,14
1066,2024-07-01 20:40:00,16
1067,2024-07-01 21:40:00,26
1068,2024-07-01 22:40:00,14
1069,2024-07-01 23:40:00,18
1070,2024-07-02 00:40:00,16
1071,2024-07-02 01:40:00,16
1072,2024-07-02 02:40:00,14
1073,2024-07-02 03:40:00,5
1074,2024-07-02 04:40:00,11
1075,2024-07-02 05:40:00,11
1076,2024-07-02 06:40:00,16
1077,2024-07-02 07:40:00,14
1078,2024-07-02 08:40:00,7
1079,2024-07-02 09:40:00,11
1080,2024-07-02 10:40:00,11
1081,2024-07-02 11:40:00,26
1082,2024-07-02 12:40:00,14
1083,2024-07-02 13:40:00,11
1084,2024-07-02 14:40:00,9
1085,2024-07-02 15:40:00,19
1086,2024-07-02 16:40:00,7
1087,2024-07-02 17:40:00,11
1088,2024-07-02 18:40:00,7
1089,2024-07-02 19:40:00,9
1090,2024-07-02 20:40:00,2
1091,2024-07-02 21:40:00,16
1092,2024-07-02 22:40:00,11
1093,2024-07-02 23:40:00,11
1094,2024-07-03 00:40:00,9
1095,2024-07-03 01:40:00,11
1096,2024-07-03 02:40:00,2
1097,2024-07-03 03:40:00,7
1098,2024-07-03 04:40:00,9
1099,2024-07-03 05:40:00,5
1100,2024-07-03 06:40:00,2
1101,2024-07-03 07:40:00,2
1102,2024-07-03 08:40:00,5
1103,2024-07-03 09:40:00,2
1104,2024-07-03 10:40:00,14
1105,2024-07-03 11:40:00,9
1106,2024-07-03 12:40:00,7
1107,2024-07-03 13:40:00,11
1108,2024-07-03 14:40:00,11
1109,2024-07-03 15:40:00,11
1110,2024-07-03 16:40:00,21
1111,2024-07-03 17:40:00,7
1112,2024-07-03 18:40:00,11
1113,2024-07-03 19:40:00,9
1114,2024-07-03 20:40:00,16
1115,2024-07-03 21:40:00,2
1116,2024-07-03 22:40:00,7
1117,2024-07-03 23:40:00,11
1118,2024-07-04 00:40:00,9
1119,2024-07-04 01:40:00,2
1120,2024-07-04 02:40:00,7
1121,2024-07-04 03:40:00,11
1122,2024-07-04 04:40:00,7
1123,2024-07-04 05:40:00,5
1124,2024-07-04 06:40:00,9
1125,2024-07-04 07:40:00,11
1126,2024-07-04 08:40:00,2
1127,2024-07-04 09:40:00,18
1128,2024-07-04 10:40:00,19
1129,2024-07-04 11:40:00,11
1130,2024-07-04 12:40:00,5
1131,2024-07-04 13:40:00,25
1132,2024-07-04 14:40:00,18
1133,2024-07-04 15:40:00,18
1134,2024-07-04 16:40:00,9
1135,2024-07-04 17:40:00,11
1136,2024-07-04 18:40:00,11
1137,2024-07-04 19:40:00,5
1138,2024-07-04 20:40:00,2
1139,2024-07-04 21:40:00,7
1140,2024-07-04 22:40:00,7
1141,2024-07-04 23:40:00,18
1142,2024-07-05 00:40:00,11
1143,2024-07-05 01:40:00,11
1144,2024-07-05 02:40:00,11
1145,2024-07-05 03:40:00,18
1146,2024-07-05 04:40:00,19
1147,2024-07-05 05:40:00,11
1148,2024-07-05 06:40:00,14
1149,2024-07-05 07:40:00,19
1150,2024-07-05 08:40:00,37
1151,2024-07-05 20:40:00,5
1152,2024-07-05 21:40:00,18
1153,2024-07-05 22:40:00,16
1154,2024-07-05 23:40:00,14
1155,2024-07-06 00:40:00,9
1156,2024-07-06 01:40:00,9
1157,2024-07-06 02:40:00,16
1158,2024-07-06 03:40:00,18
1159,2024-07-06 04:40:00,11
1160,2024-07-06 05:40:00,19
1161,2024-07-06 06:40:00,16
1162,2024-07-06 07:40:00,16
1163,2024-07-06 08:40:00,33
1164,2024-07-06 09:40:00,26
1165,2024-07-06 10:40:00,18
1166,2024-07-06 11:40:00,9
1167,2024-07-06 12:40:00,23
1168,2024-07-06 13:40:00,11
1169,2024-07-06 14:40:00,16
1170,2024-07-06 15:40:00,25
1171,2024-07-06 16:40:00,16
1172,2024-07-06 17:40:00,19
1173,2024-07-06 18:40:00,7
1174,2024-07-06 19:40:00,11
1175,2024-07-06 20:40:00,14
1176,2024-07-06 21:40:00,5
1177,2024-07-06 22:40:00,11
1178,2024-07-06 23:40:00,11
1179,2024-07-07 00:40:00,7
1180,2024-07-07 01:40:00,16
1181,2024-07-07 02:40:00,19
1182,2024-07-07 03:40:00,21
1183,2024-07-07 04:40:00,11
1184,2024-07-07 05:40:00,30
1185,2024-07-07 06:40:00,19
1186,2024-07-07 07:40:00,26
1187,2024-07-07 08:40:00,30
1188,2024-07-07 09:40:00,64
1189,2024-07-07 23:40:00,119
1190,2024-07-08 00:40:00,47
1191,2024-07-08 01:40:00,26
1192,2024-07-08 02:40:00,19
1193,2024-07-08 03:40:00,18
1194,2024-07-08 04:40:00,16
1195,2024-07-08 05:40:00,11
1196,2024-07-08 06:40:00,19
1197,2024-07-08 07:40:00,28
1198,2024-07-08 08:40:00,32
1199,2024-07-08 09:40:00,33
1200,2024-07-08 10:40:00,35
1201,2024-07-08 11:40:00,16
1202,2024-07-08 12:40:00,11
1203,2024-07-08 13:40:00,21
1204,2024-07-08 14:40:00,14
1205,2024-07-08 15:40:00,11
1206,2024-07-08 16:40:00,5
1207,2024-07-08 17:40:00,2
1208,2024-07-08 18:40:00,2
1209,2024-07-08 19:40:00,5
1210,2024-07-08 20:40:00,16
1211,2024-07-08 21:40:00,16
1212,2024-07-08 22:40:00,9
1213,2024-07-08 23:40:00,14
1214,2024-07-09 00:40:00,25
1215,2024-07-09 01:40:00,14
1216,2024-07-09 02:40:00,26
1217,2024-07-09 03:40:00,26
1218,2024-07-09 04:40:00,25
1219,2024-07-09 05:40:00,16
1220,2024-07-09 06:40:00,25
1221,2024-07-09 07:40:00,33
1222,2024-07-09 08:40:00,21
1223,2024-07-09 09:40:00,35
1224,2024-07-09 10:40:00,39
1225,2024-07-09 11:40:00,35
1226,2024-07-09 12:40:00,16
1227,2024-07-09 13:40:00,18
1228,2024-07-09 14:40:00,28
1229,2024-07-09 15:40:00,28
1230,2024-07-09 16:40:00,25
1231,2024-07-09 17:40:00,33
1232,2024-07-09 18:40:00,16
1233,2024-07-09 19:40:00,16
1234,2024-07-09 20:40:00,28
1235,2024-07-09 21:40:00,5
1236,2024-07-09 22:40:00,19
1237,2024-07-09 23:40:00,28
1238,2024-07-10 00:40:00,25
1239,2024-07-10 01:40:00,23
1240,2024-07-10 02:40:00,30
1241,2024-07-10 03:40:00,26
1242,2024-07-10 04:40:00,14
1243,2024-07-10 05:40:00,23
1244,2024-07-10 06:40:00,23
1245,2024-07-10 07:40:00,21
1246,2024-07-10 08:40:00,21
1247,2024-07-10 09:40:00,19
1248,2024-07-10 19:40:00,9
1249,2024-07-10 20:40:00,14
1250,2024-07-10 21:40:00,2
1251,2024-07-10 22:40:00,5
1252,2024-07-10 23:40:00,18
1253,2024-07-11 00:40:00,14
1254,2024-07-11 01:40:00,26
1255,2024-07-11 02:40:00,11
1256,2024-07-11 04:40:00,7
1257,2024-07-11 05:40:00,23
1258,2024-07-11 06:40:00,19
1259,2024-07-11 07:40:00,21
1260,2024-07-11 08:40:00,21
1261,2024-07-11 18:40:00,7
1262,2024-07-11 19:40:00,5
1263,2024-07-11 20:40:00,7
1264,2024-07-11 21:40:00,11
1265,2024-07-11 22:40:00,5
1266,2024-07-11 23:40:00,9
1267,2024-07-12 00:40:00,11
1268,2024-07-12 01:40:00,11
1269,2024-07-12 02:40:00,11
1270,2024-07-12 03:40:00,18
1271,2024-07-12 04:40:00,23
1272,2024-07-12 05:40:00,39
1273,2024-07-12 06:40:00,5
1274,2024-07-12 07:40:00,11
1275,2024-07-12 08:40:00,5
1276,2024-07-12 12:40:00,19
1277,2024-07-12 13:40:00,7
1278,2024-07-12 14:40:00,2
1279,2024-07-12 15:40:00,9
1280,2024-07-12 16:40:00,9
1281,2024-07-12 17:40:00,7
1282,2024-07-12 18:40:00,11
1283,2024-07-12 19:40:00,5
1284,2024-07-12 20:40:00,16
1285,2024-07-12 21:40:00,7
1286,2024-07-12 22:40:00,7
1287,2024-07-12 23:40:00,16
1288,2024-07-13 00:40:00,9
1289,2024-07-13 01:40:00,16
1290,2024-07-13 02:40:00,11
1291,2024-07-13 03:40:00,19
1292,2024-07-13 04:40:00,14
1293,2024-07-13 05:40:00,14
1294,2024-07-13 06:40:00,9
1295,2024-07-13 07:40:00,11
1296,2024-07-13 08:40:00,26
1297,2024-07-13 09:40:00,30
1298,2024-07-13 10:40:00,28
1299,2024-07-13 11:40:00,11
1300,2024-07-13 12:40:00,11
1301,2024-07-13 13:40:00,2
1302,2024-07-13 14:40:00,2
1303,2024-07-13 15:40:00,5
1304,2024-07-13 16:40:00,9
1305,2024-07-13 17:40:00,2
1306,2024-07-13 18:40:00,2
1307,2024-07-13 19:40:00,7
1308,2024-07-13 20:40:00,23
1309,2024-07-13 21:40:00,18
1310,2024-07-13 22:40:00,14
1311,2024-07-13 23:40:00,9
1312,2024-07-14 00:40:00,7
1313,2024-07-14 01:40:00,16
1314,2024-07-14 02:40:00,18
1315,2024-07-14 03:40:00,18
1316,2024-07-14 04:40:00,9
1317,2024-07-14 05:40:00,7
1318,2024-07-14 06:40:00,18
1319,2024-07-14 08:40:00,23
1320,2024-07-14 09:40:00,28
1321,2024-07-14 10:40:00,33
1322,2024-07-14 11:40:00,23
1323,2024-07-14 12:40:00,16
1324,2024-07-14 13:40:00,11
1325,2024-07-14 14:40:00,19
1326,2024-07-14 15:40:00,9
1327,2024-07-14 16:40:00,11
1328,2024-07-14 17:40:00,11
1329,2024-07-14 18:40:00,11
1330,2024-07-14 19:40:00,19
1331,2024-07-14 20:40:00,11
1332,2024-07-14 21:40:00,14
1333,2024-07-14 22:40:00,19
1334,2024-07-14 23:40:00,16
1335,2024-07-15 00:40:00,14
1336,2024-07-15 01:40:00,14
1337,2024-07-15 02:40:00,23
1338,2024-07-15 03:40:00,25
1339,2024-07-15 04:40:00,19
1340,2024-07-15 05:40:00,16
1341,2024-07-15 06:40:00,18
1342,2024-07-15 07:40:00,46
1343,2024-07-15 08:40:00,23
1344,2024-07-15 09:40:00,33
1345,2024-07-15 10:40:00,30
1346,2024-07-15 11:40:00,25
1347,2024-07-15 12:40:00,11
1348,2024-07-15 13:40:00,9
1349,2024-07-15 14:40:00,18
1350,2024-07-15 15:40:00,19
1351,2024-07-15 16:40:00,21
1352,2024-07-15 17:40:00,18
1353,2024-07-15 18:40:00,11
1354,2024-07-15 19:40:00,5
1355,2024-07-15 20:40:00,21
1356,2024-07-15 21:40:00,11
1357,2024-07-15 22:40:00,25
1358,2024-07-15 23:40:00,11
1359,2024-07-16 00:40:00,16
1360,2024-07-16 01:40:00,14
1361,2024-07-16 02:40:00,21
1362,2024-07-16 03:40:00,26
1363,2024-07-16 04:40:00,21
1364,2024-07-16 05:40:00,14
1365,2024-07-16 06:40:00,32
1366,2024-07-16 07:40:00,16
1367,2024-07-16 08:40:00,37
1368,2024-07-16 09:40:00,21
1369,2024-07-16 10:40:00,26
1370,2024-07-16 11:40:00,23
1371,2024-07-16 12:40:00,2
1372,2024-07-16 13:40:00,11
1373,2024-07-16 14:40:00,14
1374,2024-07-16 15:40:00,21
1375,2024-07-16 16:40:00,16
1376,2024-07-16 17:40:00,5
1377,2024-07-16 18:40:00,11
1378,2024-07-16 19:40:00,16
1379,2024-07-16 20:40:00,14
1380,2024-07-16 21:40:00,7
1381,2024-07-16 22:40:00,11
1382,2024-07-16 23:40:00,14
1383,2024-07-17 00:40:00,11
1384,2024-07-17 01:40:00,11
1385,2024-07-17 02:40:00,19
1386,2024-07-17 03:40:00,19
1387,2024-07-17 04:40:00,7
1388,2024-07-17 05:40:00,16
1389,2024-07-17 06:40:00,16
1390,2024-07-17 07:40:00,21
1391,2024-07-17 08:40:00,19
1392,2024-07-17 09:40:00,25
1393,2024-07-17 10:40:00,16
1394,2024-07-17 11:40:00,30
1395,2024-07-17 12:40:00,16
1396,2024-07-17 13:40:00,14
1397,2024-07-17 14:40:00,7
1398,2024-07-17 15:40:00,21
1399,2024-07-17 16:40:00,7
1400,2024-07-17 17:40:00,14
1401,2024-07-17 18:40:00,5
1402,2024-07-17 19:40:00,14
1403,2024-07-17 20:40:00,5
1404,2024-07-17 21:40:00,9
1405,2024-07-17 22:40:00,7
1406,2024-07-17 23:40:00,18
1407,2024-07-18 00:40:00,7
1408,2024-07-18 01:40:00,5
1409,2024-07-18 02:40:00,7
1410,2024-07-18 03:40:00,14
1411,2024-07-18 04:40:00,11
1412,2024-07-18 05:40:00,14
1413,2024-07-18 06:40:00,23
1414,2024-07-18 07:40:00,26
1415,2024-07-18 08:40:00,19
1416,2024-07-18 09:40:00,26
1417,2024-07-18 10:40:00,19
1418,2024-07-18 11:40:00,30
1419,2024-07-18 12:40:00,18
1420,2024-07-18 13:40:00,7
1421,2024-07-18 14:40:00,2
1422,2024-07-18 15:40:00,5
1423,2024-07-18 16:40:00,11
1424,2024-07-18 17:40:00,16
1425,2024-07-18 18:40:00,7
1426,2024-07-18 19:40:00,11
1427,2024-07-18 20:40:00,11
1428,2024-07-18 21:40:00,11
1429,2024-07-18 22:40:00,25
1430,2024-07-18 23:40:00,16
1431,2024-07-19 00:40:00,16
1432,2024-07-19 01:40:00,11
1433,2024-07-19 02:40:00,16
1434,2024-07-19 03:40:00,37
1435,2024-07-19 05:40:00,9
1436,2024-07-19 06:40:00,26
1437,2024-07-19 07:40:00,11
1438,2024-07-19 08:40:00,28
1439,2024-07-19 09:40:00,16
1440,2024-07-19 10:40:00,16
1441,2024-07-19 11:40:00,7
1442,2024-07-19 12:40:00,11
1443,2024-07-19 13:40:00,9
1444,2024-07-19 14:40:00,14
1445,2024-07-19 15:40:00,7
1446,2024-07-19 16:40:00,9
1447,2024-07-19 17:40:00,0
1448,2024-07-19 18:40:00,5
1449,2024-07-19 19:40:00,14
1450,2024-07-19 20:40:00,11
1451,2024-07-19 21:40:00,18
1452,2024-07-19 22:40:00,16
1453,2024-07-19 23:40:00,7
1454,2024-07-20 00:40:00,11
1455,2024-07-20 01:40:00,11
1456,2024-07-20 02:40:00,14
1457,2024-07-20 03:40:00,16
1458,2024-07-20 04:40:00,7
1459,2024-07-20 05:40:00,21
1460,2024-07-20 06:40:00,16
1461,2024-07-20 07:40:00,9
1462,2024-07-20 08:40:00,2
1463,2024-07-20 09:40:00,0
1464,2024-07-20 10:40:00,11
1465,2024-07-20 11:40:00,11
1466,2024-07-20 12:40:00,0
1467,2024-07-20 13:40:00,7
1468,2024-07-20 14:40:00,2
1469,2024-07-20 15:40:00,2
1470,2024-07-20 16:40:00,0
1471,2024-07-20 17:40:00,2
1472,2024-07-20 18:40:00,2
1473,2024-07-20 19:40:00,2
1474,2024-07-20 20:40:00,9
1475,2024-07-20 21:40:00,11
1476,2024-07-20 22:40:00,11
1477,2024-07-20 23:40:00,7
1478,2024-07-21 00:40:00,11
1479,2024-07-21 01:40:00,0
1480,2024-07-21 02:40:00,14
1481,2024-07-21 03:40:00,11
1482,2024-07-21 04:40:00,2
1483,2024-07-21 05:40:00,21
1484,2024-07-21 06:40:00,19
1485,2024-07-21 07:40:00,30
1486,2024-07-21 08:40:00,23
1487,2024-07-21 09:40:00,16
1488,2024-07-21 10:40:00,14
1489,2024-07-21 11:40:00,14
1490,2024-07-21 12:40:00,2
1491,2024-07-21 13:40:00,11
1492,2024-07-21 14:40:00,9
1493,2024-07-21 15:40:00,7
1494,2024-07-21 16:40:00,7
1495,2024-07-21 17:40:00,5
1496,2024-07-21 18:40:00,5
1497,2024-07-21 19:40:00,5
1498,2024-07-21 20:40:00,5
1499,2024-07-21 21:40:00,2
1500,2024-07-21 22:40:00,14
1501,2024-07-21 23:40:00,11
1502,2024-07-22 00:40:00,7
1503,2024-07-22 01:40:00,11
1504,2024-07-22 02:40:00,11
1505,2024-07-22 03:40:00,11
1506,2024-07-22 04:40:00,14
1507,2024-07-22 05:40:00,16
1508,2024-07-22 06:40:00,11
1509,2024-07-22 07:40:00,16
1510,2024-07-22 08:40:00,11
1511,2024-07-22 09:40:00,19
1512,2024-07-22 10:40:00,11
1513,2024-07-22 11:40:00,18
1514,2024-07-22 12:40:00,16
1515,2024-07-22 13:40:00,25
1516,2024-07-22 14:40:00,7
1517,2024-07-22 15:40:00,11
1518,2024-07-22 16:40:00,18
1519,2024-07-22 17:40:00,11
1520,2024-07-22 18:40:00,18
1521,2024-07-22 19:40:00,9
1522,2024-07-22 20:40:00,19
1523,2024-07-22 21:40:00,14
1524,2024-07-22 22:40:00,14
1525,2024-07-22 23:40:00,11
1526,2024-07-23 00:40:00,16
1527,2024-07-23 01:40:00,14
1528,2024-07-23 02:40:00,11
1529,2024-07-23 03:40:00,9
1530,2024-07-23 04:40:00,7
1531,2024-07-23 05:40:00,0
1532,2024-07-23 06:40:00,16
1533,2024-07-23 07:40:00,5
1534,2024-07-23 08:40:00,5
1535,2024-07-23 09:40:00,9
1536,2024-07-23 10:40:00,16
1537,2024-07-23 11:40:00,0
1538,2024-07-23 12:40:00,11
1539,2024-07-23 13:40:00,5
1540,2024-07-23 14:40:00,11
1541,2024-07-23 15:40:00,14
1542,2024-07-23 16:40:00,23
1543,2024-07-23 17:40:00,7
1544,2024-07-23 18:40:00,14
1545,2024-07-23 19:40:00,0
1546,2024-07-23 20:40:00,11
1547,2024-07-23 21:40:00,11
1548,2024-07-23 22:40:00,7
1549,2024-07-23 23:40:00,9
1550,2024-07-24 00:40:00,11
1551,2024-07-24 01:40:00,16
1552,2024-07-24 02:40:00,19
1553,2024-07-24 03:40:00,16
1554,2024-07-24 04:40:00,23
1555,2024-07-24 05:40:00,16
1556,2024-07-24 06:40:00,23
1557,2024-07-24 07:40:00,16
1558,2024-07-24 08:40:00,19
1559,2024-07-24 09:40:00,18
1560,2024-07-24 10:40:00,11
1561,2024-07-24 11:40:00,2
1562,2024-07-24 12:40:00,9
1563,2024-07-24 13:40:00,5
1564,2024-07-24 14:40:00,9
1565,2024-07-24 15:40:00,11
1566,2024-07-24 16:40:00,9
1567,2024-07-24 17:40:00,23
1568,2024-07-24 18:40:00,11
1569,2024-07-24 20:40:00,9
1570,2024-07-24 21:40:00,16
1571,2024-07-24 22:40:00,9
1572,2024-07-24 23:40:00,11
1573,2024-07-25 00:40:00,9
1574,2024-07-25 01:40:00,14
1575,2024-07-25 02:40:00,2
1576,2024-07-25 03:40:00,16
1577,2024-07-25 04:40:00,21
1578,2024-07-25 05:40:00,18
1579,2024-07-25 06:40:00,5
1580,2024-07-25 07:40:00,33
1581,2024-07-25 08:40:00,33
1582,2024-07-25 09:40:00,16
1583,2024-07-25 10:40:00,11
